scenario,year,node,from,to,ntc
Historic,2018,AT-CH,AT,CH,1200
Historic,2018,AT-CZ,AT,CZ,900
Historic,2018,AT-DE,AT,DE,5000
Historic,2018,AT-HU,AT,HU,600
Historic,2018,AT-IT,AT,IT,405
Historic,2018,AT-SI,AT,SI,950
Historic,2018,BE-DE,BE,DE,1000
Historic,2018,BE-FR,BE,FR,1800
Historic,2018,BE-NL,BE,NL,2400
Historic,2018,BG-GR,BG,GR,401
Historic,2018,BG-RO,BG,RO,300
Historic,2018,CH-AT,CH,AT,1200
Historic,2018,CH-DE,CH,DE,4600
Historic,2018,CH-FR,CH,FR,1180
Historic,2018,CH-IT,CH,IT,4240
Historic,2018,CZ-AT,CZ,AT,800
Historic,2018,CZ-DE,CZ,DE,2100
Historic,2018,CZ-PL,CZ,PL,600
Historic,2018,CZ-SK,CZ,SK,1824
Historic,2018,DE-AT,DE,AT,5000
Historic,2018,DE-BE,DE,BE,1000
Historic,2018,DE-CH,DE,CH,2700
Historic,2018,DE-CZ,DE,CZ,1500
Historic,2018,DE-DK,DE,DK,2297
Historic,2018,DE-FR,DE,FR,2300
Historic,2018,DE-NL,DE,NL,4250
Historic,2018,DE-PL,DE,PL,500
Historic,2018,DE-SE,DE,SE,600
Historic,2018,DK-DE,DK,DE,1426
Historic,2018,DK-NO,DK,NO,1223
Historic,2018,DK-SE,DK,SE,1739
Historic,2018,EE-FI,EE,FI,1006
Historic,2018,EE-LV,EE,LV,795
Historic,2018,ES-FR,ES,FR,2600
Historic,2018,ES-PT,ES,PT,4200
Historic,2018,FI-EE,FI,EE,1008
Historic,2018,FI-SE,FI,SE,2239
Historic,2018,FR-BE,FR,BE,3300
Historic,2018,FR-CH,FR,CH,3006
Historic,2018,FR-DE,FR,DE,1800
Historic,2018,FR-ES,FR,ES,2800
Historic,2018,FR-GB,FR,GB,2000
Historic,2018,FR-IT,FR,IT,2528
Historic,2018,GB-FR,GB,FR,2000
Historic,2018,GB-IE,GB,IE,974
Historic,2018,GB-NL,GB,NL,997
Historic,2018,GR-BG,GR,BG,364
Historic,2018,GR-IT,GR,IT,500
Historic,2018,HR-HU,HR,HU,1000
Historic,2018,HR-SI,HR,SI,1464
Historic,2018,HU-AT,HU,AT,600
Historic,2018,HU-HR,HU,HR,1200
Historic,2018,HU-RO,HU,RO,677
Historic,2018,HU-SK,HU,SK,792
Historic,2018,IE-GB,IE,GB,759
Historic,2018,IT-AT,IT,AT,235
Historic,2018,IT-CH,IT,CH,1910
Historic,2018,IT-FR,IT,FR,1019
Historic,2018,IT-GR,IT,GR,500
Historic,2018,IT-SI,IT,SI,649
Historic,2018,LT-LV,LT,LV,587
Historic,2018,LT-PL,LT,PL,377
Historic,2018,LT-SE,LT,SE,450
Historic,2018,LV-EE,LV,EE,649
Historic,2018,LV-LT,LV,LT,1044
Historic,2018,NL-BE,NL,BE,1400
Historic,2018,NL-DE,NL,DE,4250
Historic,2018,NL-GB,NL,GB,997
Historic,2018,NL-NO,NL,NO,691
Historic,2018,NO-DK,NO,DK,1223
Historic,2018,NO-NL,NO,NL,648
Historic,2018,NO-SE,NO,SE,2338
Historic,2018,PL-CZ,PL,CZ,800
Historic,2018,PL-DE,PL,DE,1000
Historic,2018,PL-LT,PL,LT,268
Historic,2018,PL-SE,PL,SE,600
Historic,2018,PL-SK,PL,SK,540
Historic,2018,PT-ES,PT,ES,3500
Historic,2018,RO-BG,RO,BG,263
Historic,2018,RO-HU,RO,HU,581
Historic,2018,SE-DE,SE,DE,610
Historic,2018,SE-DK,SE,DK,1811
Historic,2018,SE-FI,SE,FI,2697
Historic,2018,SE-LT,SE,LT,579
Historic,2018,SE-NO,SE,NO,2479
Historic,2018,SE-PL,SE,PL,600
Historic,2018,SI-AT,SI,AT,950
Historic,2018,SI-HR,SI,HR,1467
Historic,2018,SI-IT,SI,IT,548
Historic,2018,SK-CZ,SK,CZ,1200
Historic,2018,SK-HU,SK,HU,1117
Historic,2018,SK-PL,SK,PL,491